Time,Hot Water,Space Heat,Electricity,Charge
1,183.5989546,3228.784546,334.3505,300
2,183.5997765,4259.4382,249.8755,300
3,183.5997765,5000.048377,246.27375,300
4,183.5997765,5465.618632,231.03375,300
5,183.5997765,5785.260657,232.904,300
6,183.5997765,6002.279837,275.27275,300
7,232.1876244,8222.769793,227.181,300
8,230.6692542,11222.62884,545.84175,300
9,183.5997765,9883.321124,595.77525,300
10,183.5997765,8145.633388,800.351,300
11,875.9766099,6803.63841,634.3925,300
12,183.5997765,6980.387145,526.4145,300
13,183.5997765,6404.266043,450.0375,300
14,1911.884712,6487.063811,1269.36,300
15,183.5997765,7013.829883,579.319,300
16,183.5997765,7000.472234,694.416,300
17,183.5997765,6848.413451,440.5335,300
18,183.5997765,6643.105929,815.8095,300
19,183.5997765,6252.836553,499.55425,300
20,406.800203,5792.415752,1035.219,300
21,183.5997765,5698.923804,516.90975,300
22,183.5997765,5563.097364,471.95675,300
23,183.5997765,3589.634159,461.5865,300
24,183.5997765,941.6374879,526.26475,300
25,183.8911794,2359.064075,335.295,300
26,183.8919911,3328.755418,225.26625,300
27,183.8919911,3905.69132,215.2245,300
28,183.8919911,4228.099193,232.101,300
29,183.8919911,4431.05657,284.08275,300
30,965.5764392,4477.165475,245.941,300
31,2355.575633,6511.649138,686.8715,300
32,183.8919911,9436.211908,410.97175,300
33,183.8919911,8034.551968,1005.14225,300
34,183.8919911,7034.235038,328.608,300
35,854.5589981,6292.751795,494.04925,300
36,183.8919911,5704.003256,717.9875,300
37,609.712313,4828.449694,225.76325,300
38,183.8919911,4353.989816,244.5585,300
39,929.0775544,3613.435728,394.96625,300
40,183.8919911,3274.866232,361.9715,300
41,1078.114667,4064.647315,626.65325,300
42,4872.858089,4028.843472,1192.0025,300
43,1110.051191,3841.403016,722.70625,300
44,183.8919911,3449.498615,516.24325,300
45,183.8919911,3587.513118,667.8535,300
46,1760.567772,4168.543693,735.3415,300
47,252.3274,2585.990393,525.255,300
48,183.8919911,0,578.18475,300
49,184.179687,374.9710035,436.12775,300
50,184.1804884,1340.270927,380.3205,300
51,184.1804884,2136.902651,315.87775,300
52,184.1804884,2679.964219,274.82425,300
53,184.1804884,3089.256887,249.0905,300
54,216.1671159,3343.212563,767.52375,300
55,720.3372917,5484.293962,520.06075,300
56,2915.990792,8598.064697,365.31725,300
57,521.9440427,7653.818416,352.2085,300
58,184.1804884,6945.699775,354.83525,300
59,184.1804884,6190.523288,381.80275,300
60,568.020018,5337.144495,531.86125,300
61,366.9612168,4726.771761,919.1035,300
62,184.1804884,4732.127213,331.0065,300
